"spkid","full_name","pdes","name","prefix","neo","pha","sats","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A1_sigma","A2","A2_sigma","A3","A3_sigma","DT","DT_sigma"
2535032,"535032 (2014 WP510)",535032,,,N,N,0,7.39,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.1821475665842267,39.63244971763308,32.41349544379449,8.208036386711127,73.94726199112428,299.9717645532137,45.61900567787843,46.85140399147167,.003950278344384941,2448252.198411904867,1990-12-26.6984119,91132.8186561122,249.508059291204,31.4224,12228.655408,27.4921,5.503,2.3922E-5,.0015838,.00082618,.00010375,.00014536,.0090272,.0078247,.0018723,2.3679E-7,1.4066,5.4627,TNO,"Otto Matic",4015,2010-11-08,2021-11-05,95,,,3,.63621,,,,,,,,,
2535167,"535167 (2014 XT40)",535167,,,N,N,0,7.27,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.195935714369612,39.61053335449222,31.84941520511844,7.323464058213278,223.7764341121329,173.6239308515345,19.25144773839481,47.371651503866,.003953557309666725,2454931.101068732792,2009-04-09.6010687,91057.23575064278,249.301124573971,30.8574,12008.774358,26.8795,5.498,1.6835E-5,.0010408,.00017972,5.0504E-5,5.8605E-5,.0024325,.0021434,.0012448,1.5583E-7,.40296,3.589,TNO,"Otto Matic",4048,2010-10-08,2021-11-07,135,,,2,.55781,,,,,,,,,
2535168,"535168 (2014 XU40)",535168,,,N,N,0,7.17,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.1745225207039101,39.47539588873251,32.58605029244614,4.761050525732257,258.3688464982345,227.2137654438203,330.3473845141634,46.36474148501888,.003973876195354394,2467262.387091626445,2043-01-12.8870916,90591.64963942589,248.026419272898,31.6048,12299.640016,27.3003,5.537,3.3565E-5,.0016079,.00077501,.00010772,.00021048,.0074107,.0057913,.0018885,2.4279E-7,1.1308,5.5348,TNO,"Otto Matic",4070,2010-10-10,2021-12-01,79,,,2,.64028,,,,,,,,,
2535229,"535229 (2014 YG50)",535229,,,N,N,0,7.23,,,,,,,,,,,,,,,,,,,8,2459800.5,59800,2022-08-09.0000000,J2000,.1981235417474179,39.34676558517098,31.55124503113149,19.09978234484259,303.7844638935477,107.3315854638386,47.10618849772602,47.14228613921048,.003993378882470549,2448004.427079269964,1990-04-22.9270793,90149.22214875887,246.815118819326,30.6138,11913.972546,26.8585,5.226,3.9206E-5,.0021946,.00107,.00012268,.00013425,.010147,.009007,.0026294,3.341E-7,1.4591,7.5421,TNO,"Otto Matic",3274,2011-12-23,2020-12-09,77,,,3,.52066,,,,,,,,,
2535231,"535231 (2014 YJ50)",535231,,,N,N,0,6.83,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.198911917513428,39.3319568533126,31.50836189606478,7.294737801761228,12.20664546593579,46.87580612640793,55.49785140418349,47.15555181056043,.003995634393554195,2445910.877993113363,1984-07-29.3779931,90098.33346633422,246.675793200094,30.5258,11879.725586,26.5178,5.478,1.6361E-5,.001128,.00055151,2.3203E-5,.0004744,.0049902,.0051622,.0013524,1.7189E-7,.72021,3.876,TNO,"Otto Matic",4125,2010-11-15,2022-03-02,151,,,2,.67016,,,,,,,,,
2535992,"535992 (2015 BF519)",535992,,,N,N,0,7.75,,,,,,,,,,,,,,,,,.32201,,10,2459800.5,59800,2022-08-09.0000000,J2000,.317178525610854,38.93128903846053,26.58312018111161,19.20367351729754,290.4110541257567,266.5311395329928,349.3113300045754,51.27945789580944,.0040574754271426,2462434.815398171596,2029-10-25.3153982,88725.12143678544,242.916143564094,25.6405,9978.513385,21.5476,5.033,1.548E-5,.0010803,.000263,5.3741E-5,.0001694,.002561,.0014511,.001423,1.6889E-7,.27935,3.6932,TNO,"Otto Matic",3015,2012-01-25,2020-04-27,135,,,2,.51972,,,,,,,,,
2535993,"535993 (2015 BG519)",535993,,,N,N,0,6.42,,,,,,,,,,,,,,,,,,,11,2459800.5,59800,2022-08-09.0000000,J2000,.03263694280020103,38.75392102692641,37.4891115230871,34.46275727064503,330.7600473435468,356.7752886893045,214.9644912789432,40.01873053076572,.004085362508247992,2495301.758071527976,2119-10-21.2580715,88119.4751440518,241.25797438481,36.478,14196.14326,32.4637,4.632,1.8366E-5,.00093795,.0015907,7.3647E-5,4.8321E-5,.028215,.029723,.00096857,1.4832E-7,6.852,3.1991,TNO,"Otto Matic",3717,2011-02-04,2021-04-09,179,,,2,.75671,,,,,,,,,
2536287,"536287 (2015 CL62)",536287,,,N,N,0,6.56,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.1346630779000807,41.38720071445744,35.81387288058018,19.07567271969543,335.6614772615671,208.3124738204603,328.5580578613738,46.9605285483347,.003701732177109731,2468294.345754982651,2045-11-09.8457550,97251.76830082931,266.260830392414,34.8303,13554.907851,30.447,5.408,2.3377E-5,.0016773,.00070222,8.156E-5,.00011175,.0094007,.0085192,.0019031,2.2503E-7,1.8239,5.9119,TNO,"Otto Matic",4313,2010-05-11,2022-03-02,104,,,2,.58752,,,,,,,,,
2536921,"536921 (2015 FO345)",536921,,,N,N,0,7.15,,,,,,,,,,,,,,,,,,,8,2459800.5,59800,2022-08-09.0000000,J2000,.1272501562434452,40.03696767433521,34.94225728226229,20.15125762903256,152.9742838131369,32.07429284103666,35.00065770891386,45.13167806640813,.003890561706005299,2450804.200659756047,1997-12-21.7006598,92531.62581750596,253.337784579072,33.9633,13217.497461,29.5579,5.296,3.8404E-5,.0017341,.00095414,7.295E-5,.00040573,.022971,.017453,.0019547,2.5276E-7,4.3802,6.0115,TNO,"Otto Matic",2576,2011-04-30,2018-05-19,72,,,3,.59957,,,,,,,,,
2543375,"543375 (2014 BX64)",543375,,,N,N,0,5.80,,,,,,,,,,,,,,,,,,,12,2459800.5,59800,2022-08-09.0000000,J2000,.05046302372361636,41.6723817960513,39.56946740485757,11.18315866235701,323.0844469219028,73.47915284466093,102.1206719081066,43.77529618724504,.00366379857010087,2431927.605255872451,1946-04-17.1052559,98258.67692013664,269.017595948355,38.5946,15019.860482,34.7206,5.670,1.1612E-5,.001346,.0014383,6.4629E-5,4.7924E-5,.027792,.028429,.0014139,1.7751E-7,6.4159,4.7606,TNO,"Otto Matic",7327,2002-01-14,2022-02-05,193,,,3,.51904,,,,,,,,,
2543435,"543435 (2014 GC54)",543435,,,N,N,0,7.04,,,,,,,,,,,,,,,,,,,"JPL 13",2459800.5,59800,2022-08-09.0000000,J2000,.2544787358867431,39.12821246977429,29.17091442295823,20.18684150200517,67.33454943011871,131.662112638669,21.31173912417718,49.08551051659035,.004026883466376408,2454508.134501438765,2008-02-11.6345014,89399.16017086683,244.761561042757,28.2041,10976.189597,23.8878,5.111,1.5407E-5,.00097041,.00012674,3.009E-5,4.7792E-5,.0010256,.0012481,.0012174,1.4981E-7,.14434,3.3258,TNO,"Otto Matic",6629,2004-03-15,2022-05-09,223,,,2,.45955,,,,,,,,,
2544977,"544977 (2014 WZ535)",544977,,,N,N,0,6.26,,,,,,,,,,,,,,,,,.30781,,4,2459800.5,59800,2022-08-09.0000000,J2000,.07673676881608948,40.57019622397112,37.45697045550887,19.6911923448398,221.394283074573,48.26899269228068,235.9432034185581,43.68342199243338,.003814111734248364,2492326.237373524891,2111-08-28.7373735,94386.32769130036,258.415681564135,36.4739,14194.547663,32.3054,5.371,4.9026E-5,.001572,.0029824,7.679E-6,.00047185,.03173,.037724,.0016926,2.2168E-7,9.4003,5.4858,TNO,"Otto Matic",2928,2014-01-20,2022-01-26,69,,,3,.699,,,,,,,,,
2547616,"547616 (2010 TR195)",547616,,,N,N,0,7.73,,,,,,,,,,,,,,,,,.54329,,5,2459800.5,59800,2022-08-09.0000000,J2000,.2664248450004391,39.73524325710368,29.14878723127508,17.55843822256507,199.4876305433806,234.6112542107658,343.2133104287186,50.32169928293226,.003934959436196936,2464066.538784762015,2034-04-14.0387848,91487.60129225961,250.479401210841,28.1955,10972.842735,24.2506,5.210,1.3433E-5,.0010154,.00027133,5.025E-5,2.913E-5,.0025008,.0018767,.0012859,1.5083E-7,.32662,3.5067,TNO,"Otto Matic",4182,2010-06-15,2021-11-26,119,,,2,.78058,,,,,,,,,
2547893,"547893 (2010 WN75)",547893,,,N,N,0,5.75,,,,,,,,,,,,,,,,,.31329,,10,2459800.5,59800,2022-08-09.0000000,J2000,.09525709890125787,40.84077606942108,36.95040222417211,28.206229312223,161.6787642163069,311.818939836189,339.7627847299118,44.73114991467005,.003776270489913143,2465159.548120134449,2037-04-11.0481201,95332.15402911467,261.00521294761,36.0303,14021.911851,31.9679,5.043,1.4433E-5,.00088201,.00033718,8.5608E-6,.00011734,.0074219,.00639,.00096603,1.2233E-7,1.5743,3.0882,TNO,"Otto Matic",3760,2010-09-28,2021-01-13,168,,,2,.51684,,,,,,,,,
2552679,"552679 (2010 JH210)",552679,,,N,N,0,7.18,,,,,,,,,,,,,,,,,.47683,,4,2459800.5,59800,2022-08-09.0000000,J2000,.2411028858687414,39.37055062300372,29.87819724955614,12.23511592529766,129.2814946325147,164.6807175161196,324.6169658722778,48.86290399645129,.003989760632814979,2468668.960387498890,2046-11-19.4603875,90230.97702630887,247.038951475178,28.8634,11232.769378,24.7333,5.350,1.351E-5,.0011719,.00050351,8.1468E-6,.00027491,.0041128,.0036702,.0014545,1.7814E-7,.52925,4.0288,TNO,"Otto Matic",4052,2010-05-10,2021-06-13,116,,,2,.71226,,,,,,,,,
2554099,"554099 (2012 KU50)",554099,,,N,N,1,6.35,,,,,,,,,,,,,,,,,,,19,2459800.5,59800,2022-08-09.0000000,J2000,.2443060077529808,40.87021476201208,30.88537575749796,18.8679280591649,66.77226520850978,126.9461856425761,25.88251396056256,50.8550537665262,.00377219117032459,2452939.099611764794,2003-10-26.5996118,95435.24804153091,261.287468970653,29.9204,11644.122068,25.6004,5.271,1.5674E-5,.0010365,.00015836,3.487E-5,5.1701E-5,.0014456,.0016975,.0012898,1.435E-7,.22061,3.6306,TNO,"Otto Matic",7032,2002-03-12,2021-06-12,235,,,2,.53203,,,,,,,,,
2555426,"555426 (2013 XD26)",555426,,,N,N,0,7.18,,,,,,,,,,,,,,,,,,,7,2459800.5,59800,2022-08-09.0000000,J2000,.1037355706258807,40.22865186955909,36.05550971236048,30.26644817117499,351.8368944441305,187.1930067307985,5.950721048699272,44.4017940267577,.003862787840092987,2458259.975048840367,2018-05-21.4750488,93196.93830022358,255.159310883569,35.063,13645.46771,30.6192,4.906,2.9574E-5,.0016823,.00034576,.0001295,1.4426E-5,.014572,.011657,.0018568,2.423E-7,3.0435,5.8459,TNO,"Otto Matic",5768,2005-06-04,2021-03-20,66,,,3,.80817,,,,,,,,,
2555758,"555758 (2014 DP143)",555758,,,N,N,0,7.66,,,,,,,,,,,,,,,,,,,"JPL 12",2459800.5,59800,2022-08-09.0000000,J2000,.2560899743523323,39.32499705786541,29.25425956991111,24.2070877010255,202.034758497983,35.99127322077467,355.3802939195784,49.39573454581971,.003996695170306225,2460956.381517996197,2025-10-07.8815180,90074.42015459412,246.610322120723,28.2738,11003.314746,23.9909,4.980,1.6989E-5,.0011504,.00020431,4.6992E-5,2.5754E-5,.0023944,.001503,.001445,1.7537E-7,.33634,3.9524,TNO,"Otto Matic",4090,2011-04-12,2022-06-23,131,,,2,.72248,,,,,,,,,
2555820,"555820 (2014 EA52)",555820,,,N,N,0,5.40,,,,,,,,,,,,,,,,,,,18,2459800.5,59800,2022-08-09.0000000,J2000,.09338733747081587,41.1825854656063,37.33665345880901,18.99630767107375,140.726824832118,91.15681505971035,344.9617869888577,45.02851747240359,.003729354443398795,2463832.890388036444,2033-08-23.3903880,96531.45214910424,264.28871224943,36.3831,14159.211027,32.2312,5.423,1.3246E-5,.00083998,.00028142,2.1316E-5,.0001314,.0068563,.0058831,.00091842,1.141E-7,1.4937,2.9534,TNO,"Otto Matic",7285,2002-03-23,2022-03-03,236,,,2,.46842,,,,,,,,,
2555915,"555915 (2014 GX53)",555915,,,N,N,0,5.41,,,,,,,,,,,,,,,,,,,"JPL 21",2459800.5,59800,2022-08-09.0000000,J2000,.1356050863180895,40.54997146580114,35.05118908498511,14.5164279188601,97.16908519838195,130.6687020910224,.04711745664510743,46.04875384661717,.003816965587250678,2459788.155781649568,2022-07-27.6557816,94315.75731320764,258.222470398926,34.0606,13255.363702,29.7305,5.483,1.3032E-5,.0007895,.00015817,1.8543E-5,.00012465,.0025762,.0019315,.00089656,1.1147E-7,.50628,2.7545,TNO,"Otto Matic",7325,2002-04-12,2022-05-02,298,,,2,.37425,,,,,,,,,
2555916,"555916 (2014 GB54)",555916,,,N,N,0,7.82,,,,,,,,,,,,,,,,,.4122,,"JPL 10",2459800.5,59800,2022-08-09.0000000,J2000,.2866950600155593,39.37134678876517,28.08377615826674,26.15326783017648,204.305726094444,57.93652506759987,348.8438572398257,50.6589174192636,.003989639612262759,2462596.778321952739,2030-04-05.2783220,90233.71406617422,247.046445081928,27.144,10563.63048,23.1614,4.863,1.5351E-5,.0011356,.00023645,4.126E-5,3.7879E-5,.0023275,.001604,.0014611,1.7261E-7,.29359,3.9039,TNO,"Otto Matic",3700,2012-04-16,2022-06-03,143,,,2,.66331,,,,,,,,,
2556067,"556067 (2014 JK80)",556067,,,N,N,0,6.35,,,,,,,,,,1,,,,,,,,,11,2459800.5,59800,2022-08-09.0000000,J2000,.2005204391402512,39.41566585496754,31.51201922872404,19.986206011977,157.1691945665586,153.5858445995547,319.0674003538618,47.31931248121104,.003982912564061612,2470077.552028577998,2050-09-28.0520286,90386.11674489953,247.463700875837,30.5095,11873.382115,26.5125,5.200,1.3376E-5,.0010357,.0005019,7.1257E-6,.00014082,.0044696,.0041609,.0012434,1.5698E-7,.64731,3.5625,TNO,"Otto Matic",3727,2011-05-01,2021-07-14,199,,,2,.55676,,,,,,,,,
2556068,"556068 (2014 JR80)",556068,,,N,N,0,5.02,,,,,,,,,,,,,,,,,,,"JPL 11",2459800.5,59800,2022-08-09.0000000,J2000,.09259190149413223,39.57431801926139,35.91005666352448,15.3572350252368,119.1609723035704,295.4773501477101,257.1307428097517,43.23857937499831,.003958985532889466,2485784.241626650804,2093-09-28.7416267,90932.38583704901,248.959304139765,34.9519,13602.230923,31.028,5.427,1.4452E-5,.00077941,.0010566,5.6743E-5,2.456E-5,.009429,.010146,.00085157,1.1696E-7,1.9367,2.6863,TNO,"Otto Matic",4445,2010-06-21,2022-08-22,196,,,2,.45725,,,,,,,,,
