packed_designation,a_au,e,i_deg,w_deg,W_deg,M_deg
15788,39.31587384448324,0.319741142469874,1.937430064354779,79.15665458952064,354.8332777391669,358.6631684084951
15789,39.52663773695522,0.1856797945735095,5.156782222534459,316.9884366232242,354.6511671133012,73.97455794501985
15810,39.35331828080324,0.1170023144745117,3.803150273657487,102.0839145729356,144.7523133757021,37.77177911586194
15820,39.45562819787597,0.3164997266816138,12.13720722213547,98.98889104167706,317.3904557030145,4.28510367514722
15875,39.38212202042575,0.3305967994349587,5.691539446676161,75.26796081829568,316.7695530637558,31.57650908644756
19299,39.56816875371008,0.2577805035034102,4.737236092074149,30.15319667185488,15.96356396581881,15.69355482100304
20108,39.45361962349951,0.1461180120505069,19.55652433271666,142.8903110164239,188.0095364242024,67.56909000687064
24835,41.79580114278018,0.104494586118562,27.04401411619148,71.22427367607519,21.0359503485763,336.5827872443094
24952,39.35442335145116,0.2260425665262903,16.56362088823817,82.06376456053694,346.8326749138668,346.3256285767878
28978,39.4982203701594,0.2440575080204391,19.63020963121442,299.8567043764953,71.0305254885185,289.3408311094103
32929,39.63634135837519,0.2630396920807687,4.83409142716673,25.1536057314749,342.05995311574,22.5341969383693
33340,39.24916345185271,0.2518376590332192,3.037540795419179,324.2644574868253,127.9566188099339,11.82319547966593
35671,37.89314412644708,0.04275697348670327,4.604011636633589,264.5660120673355,192.0997898367115,296.0271384526174
38083,38.97878651709324,0.1539842457220661,12.751685865922,80.06790248645343,10.00073817934619,108.1951496285811
38628,39.4134720965676,0.2760810706552698,15.47375217544597,67.88255878900266,169.3232331299087,10.01988519135069
47171,39.4059095126038,0.2245302100877619,8.415254715290414,295.0001656823114,97.10481275656349,9.694182310250646
47932,39.34088513442652,0.2810071055515194,10.81464378134589,195.150290707692,26.09676412539602,17.44606459063902
55638,39.29438141988724,0.2880321055820338,16.32717909364798,206.9801722155346,199.8026158683522,29.6383675954738
59358,41.44544959841751,0.2076976476388425,10.02843471836401,328.1351980765252,120.0867657839701,53.80097911726887
69986,39.43635191142041,0.2249692073302205,13.93295269168415,146.3073274874453,233.9769176714278,51.72911085664707
69990,39.23238479528579,0.1863679685675157,6.577905708318405,141.6599085118731,237.1634535674636,54.96519588023342
76803,38.60645184441528,0.1226288676736097,33.72929947355578,126.7965586561541,127.3696336189049,73.31265335481287
82157,38.57272122537581,0.05921938581679811,5.368361527137782,114.6633105182826,150.7669307273685,293.7842121184381
84719,39.43416426403131,0.2644610587589988,14.01231125837917,288.3429818326676,23.08272452025907,81.4912980836693
84922,39.42258980246798,0.07586920872730467,14.79028158105083,112.565379320487,302.7227919111521,25.77611908526509
90482,39.27887256256349,0.2238655824218816,20.56753914505272,73.01823543021172,268.58329713646,183.2617429334954
90568,41.94505619875893,0.07664569884269361,21.98325217745886,292.1185764157994,250.6047164634139,43.82619880156813
91133,39.35405049862154,0.2280961901288007,5.941867404107449,180.8126048568614,50.23955209269998,33.8011082880443
91205,39.26462013956326,0.1323807789768091,10.60518484219971,140.8163755819021,223.8494906628152,68.34318749506268
B8228,39.39144143997021,0.1216172743880762,14.66363147468877,19.63317765826589,10.73223519495022,33.50290005394091
B9069,39.12502221235923,0.2406423364585797,2.360646058061171,280.5127921154647,45.37043842511459,325.989363316767
B9473,39.58899060793296,0.2853590327974931,3.671842905080163,47.44311792323376,36.37465276742764,350.9720621853522
B9951,38.78512557048958,0.04460943753610131,0.4027947514999081,73.68876215315686,286.7982441592548,268.3744944019491
C0216,39.37418315711398,0.3150319102798493,29.28002706766359,204.5995254341573,25.73349270668189,5.479784096733315
C0348,38.85115386089684,0.0653459191361803,24.83733274817812,358.3131372280909,140.4949189980056,276.132219363516
C6155,39.41620479947169,0.2925041046866514,5.976826739147693,129.3489144763796,319.455848734899,19.73966259421385
C9746,39.2907793511365,0.2680848167135093,1.474871808702704,34.82093251214823,171.5847679907568,14.21789904602863
D1318,39.34227617729496,0.1740480480388061,13.69820781990198,171.2748132069177,2.083383907314948,36.19791564417134
D3067,39.55380790044276,0.2573467409057322,8.884074002974451,305.0168902194798,209.4932643705808,60.40738881024082
D4340,39.48862584519749,0.2490133663377271,17.14072936520548,113.7726475225366,110.3010167010042,46.78790886411515
D9775,39.34971568127711,0.1929303758364952,6.489603677395106,209.2171494439654,162.5359445715752,16.16782680310203
E4897,38.99890732491131,0.04164777600042421,9.532361196349129,152.8213781862985,147.9558572688519,102.727579576048
E5452,41.51118640090592,0.02254993962033373,19.27335620054936,172.8087132782517,186.9895336602632,348.3986043942402
E9560,41.49337528257181,0.4765552245505785,34.81108254718956,137.2802439522701,130.8298445430104,41.0990722872773
