packed_designation,a_au,e,i_deg,w_deg,W_deg,M_deg
15788,39.31587384448324,0.319741142469874,1.937430064354779,79.15665458952064,354.8332777391669,358.6631684084951
15789,39.52663773695522,0.1856797945735095,5.156782222534459,316.9884366232242,354.6511671133012,73.97455794501985
15810,39.35331828080324,0.1170023144745117,3.803150273657487,102.0839145729356,144.7523133757021,37.77177911586194
15820,39.45562819787597,0.3164997266816138,12.13720722213547,98.98889104167706,317.3904557030145,4.28510367514722
15875,39.38212202042575,0.3305967994349587,5.691539446676161,75.26796081829568,316.7695530637558,31.57650908644756
19299,39.56816875371008,0.2577805035034102,4.737236092074149,30.15319667185488,15.96356396581881,15.69355482100304
20108,39.45361962349951,0.1461180120505069,19.55652433271666,142.8903110164239,188.0095364242024,67.56909000687064
24952,39.35442335145116,0.2260425665262903,16.56362088823817,82.06376456053694,346.8326749138668,346.3256285767878
28978,39.4982203701594,0.2440575080204391,19.63020963121442,299.8567043764953,71.0305254885185,289.3408311094103
32929,39.63634135837519,0.2630396920807687,4.83409142716673,25.1536057314749,342.05995311574,22.5341969383693
33340,39.24916345185271,0.2518376590332192,3.037540795419179,324.2644574868253,127.9566188099339,11.82319547966593
38628,39.4134720965676,0.2760810706552698,15.47375217544597,67.88255878900266,169.3232331299087,10.01988519135069
47171,39.4059095126038,0.2245302100877619,8.415254715290414,295.0001656823114,97.10481275656348,9.694182310250646
47932,39.34088513442652,0.2810071055515194,10.81464378134589,195.150290707692,26.09676412539602,17.44606459063902
55638,39.29438141988724,0.2880321055820338,16.32717909364798,206.9801722155346,199.8026158683522,29.6383675954738
69986,39.43635191142041,0.2249692073302205,13.93295269168415,146.3073274874453,233.9769176714278,51.72911085664707
69990,39.23238479528579,0.1863679685675157,6.577905708318405,141.6599085118731,237.1634535674636,54.96519588023342
84719,39.43416426403131,0.2644610587589988,14.01231125837917,288.3429818326676,23.08272452025907,81.4912980836693
84922,39.42258980246798,0.0758692087273046,14.79028158105083,112.565379320487,302.7227919111521,25.77611908526509
90482,39.27887256256349,0.2238655824218816,20.56753914505272,73.01823543021172,268.58329713646,183.2617429334954
91133,39.35405049862154,0.2280961901288007,5.941867404107449,180.8126048568614,50.23955209269998,33.8011082880443
91205,39.26462013956326,0.1323807789768091,10.60518484219971,140.8163755819021,223.8494906628152,68.34318749506268
B8228,39.39144143997021,0.1216172743880762,14.66363147468877,19.63317765826589,10.73223519495022,33.50290005394091
B9069,39.12502221235923,0.2406423364585797,2.360646058061171,280.5127921154647,45.37043842511459,325.989363316767
B9473,39.58899060793296,0.2853590327974931,3.671842905080163,47.44311792323376,36.37465276742764,350.9720621853522
C0216,39.37418315711398,0.3150319102798493,29.28002706766359,204.5995254341573,25.73349270668189,5.479784096733315
C6155,39.41620479947169,0.2925041046866514,5.976826739147693,129.3489144763796,319.455848734899,19.73966259421385
C9746,39.2907793511365,0.2680848167135093,1.474871808702704,34.82093251214823,171.5847679907568,14.21789904602863
D1318,39.34227617729496,0.1740480480388061,13.69820781990198,171.2748132069177,2.083383907314948,36.19791564417134
D3067,39.55380790044276,0.2573467409057322,8.884074002974451,305.0168902194798,209.4932643705808,60.40738881024082
D4340,39.48862584519749,0.2490133663377271,17.14072936520548,113.7726475225366,110.3010167010042,46.78790886411515
D9775,39.34971568127711,0.1929303758364952,6.489603677395106,209.2171494439654,162.5359445715752,16.16782680310203
G8700,39.35346389380605,0.2305116236643938,4.991077553867355,49.80522196123573,154.733309379881,26.84766895469962
G9071,39.28396959210717,0.1915937583000077,5.637335967773736,336.1267123319617,287.5256165423324,346.6155592896765
K8996,39.46982810137489,0.1790371855481614,13.56477408047544,15.11587757401284,252.0297627805269,236.5185744744733
U6792,39.50192409492384,0.1564526948478749,15.61626056578188,64.7845541248981,248.4832032204232,334.2994926399743
U7463,39.14846547720006,0.2093338531818203,1.369449787857745,280.7575302893536,267.9007638250473,280.6535602232587
Y1520,39.21435151219036,0.2644324599922976,11.28226824796516,205.3463480617484,196.7035406219582,6.82380969698055
c5185,39.19902747053786,0.1970705737728832,3.714392103204008,188.4771967140397,170.3131739371521,35.65685740802602
c5445,39.42371936416064,0.1499964227859408,3.662759387004349,266.4199237628849,286.7617371430363,131.6012265950579
h8028,39.40969447113402,0.2794157326422548,3.134048292781538,300.9376030039309,226.1592280389174,33.39879023226823
i4745,39.34794122140076,0.1833512357166247,15.08051235433565,122.8367447442414,207.495103884346,301.1448835691932
j0265,39.18552788118328,0.2554986782734191,4.145542909499936,100.5310665120746,10.37799149157342,0.4960294528983838
j5502,39.2312917934034,0.2230763655675711,12.04452028420298,145.4716711702914,136.0305871723044,117.0139202774934
