packed_designation,vtx,vty,vtz
15788,-0.9469602592799581,0.32125262833362594,0.007938270162440737
15789,-0.6646294687560993,0.7446527498545031,0.0613184425365809
15810,0.9222269200838936,0.3825505561165245,-0.056147839562298824
15820,-0.9581939838312772,0.2692120071197981,-0.09689780478460841
15875,-0.9969738173128957,0.04270815659731544,-0.0649555305775593
19299,-0.9693348408164687,0.24223269882954448,0.04139185906753161
20108,-0.7693034628564128,0.5898104124733623,-0.24555215204745068
24952,-0.695866632148394,0.7010500305567477,0.1558797129803449
28978,0.9390032689492679,0.17417785435765687,-0.2965382537784152
32929,-0.7193452334949854,0.6936627617103033,0.037073009919348074
33340,-0.8923084420269802,-0.4484247197094623,0.051970328466090406
38628,0.9871337510689765,-0.15973569933602144,-0.007173831481428486
47171,-0.7835708633941482,0.6125664605103306,0.10382212431651991
47932,0.9601143852096532,-0.2507582470289318,-0.12369587244717228
55638,-0.9906913339948648,-0.1193802114853291,-0.06541441624896886
69986,-0.9808009429216035,-0.01779597453320647,-0.19419787242528452
69990,-0.9951186751647328,0.015839522304061375,-0.09740601558202902
84719,-0.8178544779079568,0.5382092920750203,0.20357998646725722
84922,-0.9745548355568335,0.09532433281947983,-0.20286977119648586
90482,-0.33561302642793506,-0.9346779438619741,-0.11722217260328557
91133,0.9797698612441685,0.18899811754085538,-0.06580828643564308
91205,-0.9858497090483495,0.09178487195852707,-0.14027076833339755
B8228,-0.9468921383030804,0.29727566139818684,0.12256614361270557
B9069,0.9959382677233427,0.08597991188028652,-0.02672866695675989
B9473,-0.8725197368051237,0.48509144194974135,0.058271792770075756
C0216,0.9021673503706242,-0.2546047114401301,-0.3482391604023527
C6155,-0.8034613788631649,-0.5866661099412454,-0.10135427036740244
C9746,0.81895426590042,-0.5737430005456203,0.011527345245655934
D1318,0.6633607775764142,-0.7256696833356213,-0.1826362216560402
D3067,0.8316914656924728,-0.5380190931126664,0.13720335761390942
D4340,0.8943858381785562,0.3364768753193007,-0.29471559992813584
D9775,-0.6164911709544435,0.7847477546044569,-0.06410614462344535
G8700,0.9145861606253891,-0.4043853490439947,-0.002155057093602135
G9071,0.8700614097617642,-0.4883163916163333,0.06738133956946483
K8996,-0.7421765182927217,-0.659142078258965,-0.12126721058615164
U6792,0.9599021396342694,0.15477162485896456,0.23373837182642362
U7463,-0.9995074142513053,-0.020386640526524606,-0.02386029640871889
Y1520,-0.8694307085863809,0.4736955372096256,-0.14036659500987986
c5185,-0.7458246518825318,0.6652522162212645,-0.034424953986836336
c5445,0.4247678780610295,0.9042932949752625,0.042730392349160734
h8028,0.6490648568313816,-0.7587847516022148,0.05441059053551154
i4745,0.9611482872693732,-0.2164471469294294,0.17130266333382044
j0265,-0.8569061070450511,-0.5148405722948353,-0.025516834208455838
j5502,-0.8172913880202978,0.5752945147562843,0.03272626405788209
j6826,-0.8799640678645556,0.044581888172257306,0.47294364834963165
k9362,0.9601421315675893,-0.14352974290272746,0.23984640937717402
k9372,-0.24494654017445966,0.9106251083140842,-0.33281091413071845
k9421,-0.6329060783515472,-0.7269713478838957,0.2663504370965757
k9506,0.9231978281141789,-0.38312055188776045,-0.03040415903261752
k9704,0.5241940150187886,-0.8510450202095813,-0.030708438497508532
k9707,0.9175438548342245,-0.3345356507769356,0.21493992838745407
k9708,0.9660863034893925,-0.17588035704359095,0.1890591288894043
k9987,0.965917877634876,-0.19051825693905886,0.17522969907592514
n1767,-0.6164009051902496,0.6270349142994923,0.4763162188400361
o0833,0.7412373878158134,-0.662047787477593,0.11072426111748634
o0834,0.7547946383063258,-0.6333025666716885,-0.17091785462927606
o0883,0.8938288940217921,-0.34515867509364534,0.28624359769151064
o0884,0.9027239726785696,-0.2653587268545247,-0.3386357559880038
o0885,0.947672318774183,-0.3173691551579664,-0.034554241179360935
o3858,0.9756230982173317,0.17612015054699565,0.13092464548784624
o4555,-0.6125530077732593,0.7720704947956161,-0.1693693116653248
o8823,-0.5096030961665392,0.7974179957964868,0.3231551088214316
q3618,-0.7513145260124748,0.631875259198597,0.19042095424442196
