resonant_des,ePh,qPh_au,tpPh_jd,WPh_deg,wPh_deg,iPh_deg
15788,0.3194161421111949,26.72618051753012,2459963.040030363,354.9269504026953,79.45729840209255,1.939884062623349
15789,0.1839792275948846,32.29071369101059,2441002.377523944,354.7200835350276,317.5535370977225,5.163893001350135
15810,0.1198447656485553,34.71395538332061,2450037.681089995,144.6878166589223,101.6465446874423,3.807830359719662
15820,0.3167469687559635,26.95786640244943,2458548.683885328,317.4938334656358,99.2528817010583,12.13904701617108
15875,0.3356748538924172,26.39169897315333,2451741.2427075603,316.8340986740104,75.78733648159977,5.688329978511034
19299,0.2576480346793268,29.37553692624976,2455686.666238858,16.0300254712394,30.56352541253217,4.743760599526558
20108,0.1441052501764178,33.74631844998208,2442685.7049269457,188.0365417400431,143.45675787609,19.57893631659422
24952,0.2249850930278499,30.42206298205184,2463101.84262368,346.9193204458281,82.60505429396244,16.58896295256074
28978,0.2450327745952899,29.93786432545569,2477226.1986281862,71.03334785605702,298.9671028144506,19.61549559980639
32929,0.265301050531159,29.22854333134474,2453961.5381053747,342.1199638668126,25.6787007503238,4.838869621580531
33340,0.2527096922647561,29.36862495216295,2456710.9145884006,127.9870775446308,324.7857095528688,3.034978537375932
38628,0.2816160445984238,28.53418341363583,2457032.192601189,169.2304521848319,67.71066240799358,15.46390585601863
47171,0.2211534122224923,30.55421295103415,2457172.892609617,97.0967301634204,295.1665013102492,8.416719734260086
47932,0.2803634991771369,28.27668348704253,2455161.7596538845,26.09766426383249,194.7529939601814,10.81654346095372
55638,0.29188076676831,28.01122549366242,2452273.5824985304,199.8166008976407,207.6793700559423,16.32753291077993
69986,0.2232729601465169,30.5970870123832,2446634.729552614,233.9933439790283,146.661979994889,13.9465446416249
69990,0.18959249935551,32.00988077218819,2446141.6209475948,237.1217814541029,143.2304733047625,6.564680964434221
84719,0.2630699433552476,28.97471032924435,2439017.4171320456,23.15760092586865,287.7665413733278,14.042070686259
84922,0.0817659738356694,36.44056671541573,2453340.0537509844,302.7898821357276,113.5370152056198,14.77607071807378
90482,0.2181109721138372,30.85691812535114,2413440.873422658,268.5870234104096,72.90225292882624,20.56616216413022
91133,0.2240585093588112,30.37271680015517,2451175.4652874595,50.25230727233334,181.1771407904464,5.955002596997174
91205,0.1312338205468332,34.14551995737898,2442721.758718667,223.8630711712901,141.9400585076689,10.60905425339106
B8228,0.1252598130160675,34.63946037210664,2451493.31218394,10.74688708874425,21.20510791796366,14.66579855945036
B9473,0.2868255854975592,28.26312187744476,2461904.842475957,36.39157892920507,47.77814711332904,3.676486863851044
C0216,0.317201354096481,26.97918709987879,2458154.0202401774,25.71788411654549,204.1736209267511,29.25827335804986
C6155,0.2938486766146364,27.9066927559221,2454697.81299483,319.4956907775736,129.8619090096998,5.971845694677841
C9746,0.2744255757062149,28.75901295599946,2456026.3647114886,171.4988468672011,34.86106094439027,1.472953631394044
D1318,0.1792658256091382,32.49983546933249,2450625.8203853,2.02514029291386,171.8546936608058,13.67278968991873
D3067,0.2606133398406952,29.45639154769651,2444508.576069104,209.4325351241943,306.1774601263407,8.864605601141754
D4340,0.2499212478592862,29.81056413587784,2447992.224269649,110.3006474093101,115.2148805634879,17.11020743042651
D9775,0.1900280414438049,31.75894621432194,2455567.8056229097,162.6099291609968,209.3663651253208,6.499719820219468
G8700,0.2369748974256129,30.28397877290701,2452834.449441362,154.6614854524599,49.69604135789875,4.986198266206597
G9071,0.1938564527410599,31.85728556493182,2462675.115275507,287.4416620482122,334.6725736080583,5.637991270063621
K8996,0.1786140645075399,32.50552095738158,2490419.14182324,252.1160498489146,13.91535149239118,13.58019319934087
U6792,0.1553866852978295,33.42556980663016,2465881.507301335,248.4763901596721,63.67818353536168,15.61315192200187
U7463,0.2087613320141778,31.14779134333985,2479087.802094238,267.9704690157188,279.1856316814379,1.363283621042823
Y1520,0.2620775967827481,28.83883427032226,2457925.847200567,196.746380259548,205.6191211739976,11.30244572975293
c5185,0.1958626923664807,31.48554491388164,2450810.731083773,170.3385796620489,189.1044496072948,3.717125273548544
c5445,0.1529347923467732,33.31868501554025,2426543.637321743,286.8071125255245,265.8107008446533,3.668606006743639
h8028,0.276765979437028,28.39193028794867,2451174.124362689,226.1373422874393,300.8042422244824,3.137167545430188
i4745,0.1831463093158245,32.33147480260055,2474038.8678491963,207.4036888787341,121.0654686756755,15.04693022900051
j0265,0.252584872948708,29.16090129109805,2459522.830100961,10.4115403841458,100.950724115377,4.146567413864299
j5502,0.2236851512674853,30.3586867053734,2430287.9468986043,136.1255034143441,144.5347160865439,12.04346202329319
j6826,0.2785498939187477,28.45439627057259,2454027.156855532,96.30924379603852,312.4434747593778,28.55895264044141
k9362,0.2818315103798511,28.39912138521557,2460470.511878031,222.9975955058664,52.54111916379341,17.51702181939514
k9372,0.1147965042223264,34.74568483601447,2419153.1792270234,164.2255675610747,42.02123173772785,22.39724222630131
k9421,0.112614080319793,35.08775684821774,2476805.2489356366,106.6821267040455,108.7750811209955,18.09686706759413
k9506,0.2142121329020096,31.04098832851706,2460921.365412683,91.71883916218844,169.8612502826477,1.911804195224203
k9704,0.1558531692357773,33.55227571918275,2463696.925537154,24.41992866063097,211.0111678824669,1.770573070601072
k9707,0.2412226101824956,30.14369834881684,2452729.108876876,217.0363662910736,349.575300757579,14.65927754921279
k9708,0.3264581259294001,26.61479518387816,2463158.953382838,205.3345911384631,85.29196431730574,18.22615345586565
k9987,0.3031860356652092,27.65866869058895,2470177.053436967,222.5133701950532,101.1283384126312,12.41984519676026
n1767,0.0762139669577499,36.46572122648322,2454160.1537620737,65.52851076809283,316.1714557743192,30.11599753457777
o0833,0.1059741574202063,35.26877652138685,2453014.794737015,204.4296863567904,351.297306876329,6.941629995872566
o0834,0.1787479528771712,32.19136665922091,2418442.7134338627,44.98570849224417,12.87689773325605,9.88126777175815
o0883,0.2565045858171527,29.39055378197609,2435339.314388132,214.8262351303341,274.8098638648491,19.77813533919423
o0884,0.2548911798564392,29.31698131720762,2460673.300165813,83.06941712394415,186.195798406556,20.07299976659232
o0885,0.23220416019612,30.14195643681022,2444305.405624892,145.6323588540206,25.01936691914123,7.252619052723449
o3858,0.2849487433059586,28.24774702455399,2449006.9500537314,228.8989229914347,346.6448854120934,11.94660699394183
o4555,0.2403556117623092,29.79693412305144,2447823.9965653312,158.8241482195283,171.9688980250423,18.81721359660007
o8823,0.2932963346432451,27.85661526475113,2432385.422079538,20.56078721361644,240.3670694998834,19.22969293332104
q3618,0.226599577360053,30.37268377576043,2450454.904072724,82.24168008665384,275.5515085483414,12.92734387848088
q3644,0.2830498208364213,28.15855179702559,2462066.9163231053,170.6317641632085,292.7669312501384,22.31241346112578
q3655,0.1938034865666731,31.96390062989565,2461840.008348975,12.90520153251005,121.2781815028375,9.53247939420612
q3697,0.2980565630277687,27.87443178527433,2449525.674134139,137.2279915924314,22.95041335555566,16.18232931832644
q3700,0.3864783285823561,24.14123430772979,2453284.486286941,159.8287926408625,72.31776723006536,54.26369825972358
q3701,0.2429439648041612,29.84539812928089,2460017.7548051467,73.49675339741582,172.0408463929073,14.46124843696406
q3703,0.2315261182127438,30.62864419011909,2459318.92846145,109.8018768204778,131.941118055748,14.74928072463704
q3704,0.2472562720126017,29.91279511666716,2458704.3512205533,39.68551066733161,185.8981078362636,8.971585356095465
q3715,0.1430027448255166,34.12347292492919,2446099.1493434776,62.00248558806832,103.1402579890288,6.183581659145417
q3717,0.2017235108794513,31.46191319363666,2446798.985219617,96.23635939036492,91.5606916485459,9.676709468906706
q3751,0.2258864545209021,30.61444053600529,2458930.675135959,167.2732011132389,266.3791964161875,15.2702923329671
q3760,0.1415341670439724,33.83888653719248,2491436.8288806016,40.78302761136026,207.2645287833397,9.825003778214745
q3764,0.2560378954502798,29.53642559093868,2463158.8822324662,194.5486064192619,288.6655430537064,19.5453296494719
q3766,0.2230983652404571,30.62742512928556,2453758.422030793,197.1764375813883,197.8619192541527,26.09658547456835
q3768,0.15298312733258,33.62911243225552,2420658.4080676143,334.5359898741361,18.03255771247612,22.80189766168228
q4216,0.1481122731790377,33.597213451526,2418649.640111164,209.2193248959265,18.17196533336331,6.510160195716873
q4460,0.1767735204829093,32.34413054696741,2426078.52268511,44.31163633953062,53.69320363202704,2.781160348471193
q5258,0.2091314305338011,31.09079266677254,2438612.6877811197,26.62026527070211,272.2064495681233,12.85188393757459
q9938,0.1670263401544208,32.81705494462341,2464999.1031555603,44.82513348478155,31.77393125105651,5.626813006519678
r0838,0.2715314130347592,28.6126897731714,2454254.7554135406,289.2767284381199,88.71719519927248,4.650311377943225
r1077,0.1898752967494516,32.12483789789512,2436090.801865831,48.4759998928419,44.06310971168342,9.689640771756173
r2092,0.125149406332123,34.78469312655489,2441684.1578930505,185.1786901345454,343.5708936740144,20.76713582367769
r3209,0.2890453943588207,28.0701238417805,2424557.1918594544,39.99561606053889,357.2861694058558,10.27682425669295
r3398,0.2467479655376828,31.03339425727288,2462567.672240076,128.4994041048357,148.7101185260087,15.76244345367448
r3562,0.2211905280792969,30.80937622151936,2452917.8125434527,109.7387788089272,96.60196136509654,7.987305111810151
r4161,0.196093070883771,31.66855652081698,2462749.9537963183,117.667428955139,337.3072475493209,9.663483104431684
r4315,0.2890216363697344,28.03745735544659,2455838.907549895,59.90327822810355,316.1753997137466,9.39487208343964
r5024,0.3446859998678943,25.71493478006975,2467458.89424094,51.83218071923141,66.20871159851976,26.45554830917899
r5029,0.2125901458641882,30.91707970439691,2442257.911016101,167.5874242939397,177.9146636749036,17.49033380881259
r5032,0.1779392959526976,32.51517677747908,2448337.0977066485,73.97039573908607,300.6852598099928,8.211016521178907
r5167,0.1906846691182974,31.88173552719055,2455065.9024669733,223.8382022176688,174.4514416558039,7.339125735606835
r5168,0.1787643310865346,32.49958780580254,2467367.2700092583,258.4060286949098,227.9777264877059,4.755161794422722
r5229,0.1981095885859106,31.73095149319204,2448305.8405365893,303.8478515845837,109.2863906805572,19.0323885492824
r5231,0.2002286775088488,31.75620140259264,2446318.307498011,12.46479561348209,49.30006304368806,7.276462665119356
s3435,0.2630287881175341,29.14720683232239,2454493.890319015,67.34486243358539,131.4238307336346,20.15529119973175
s7616,0.2625525702585222,29.05791018164252,2464266.607162756,199.5670576579394,235.9716940559031,17.61836253738425
t2679,0.2406099641984403,30.06791537365369,2468430.9779467434,129.0888923872415,163.053405862056,12.24140714961045
t5758,0.2615578304028987,29.29495029078157,2460774.006589355,201.9469512344569,34.79790330307644,24.12576604404245
t5915,0.1447488143297471,35.06696268565354,2459440.277675687,97.15601729853717,128.923106257991,14.5145980551663
t5916,0.290111820401367,28.14963871758316,2462428.7794581936,204.1842224997265,56.76984710809928,26.06783981772175
t6067,0.1990983808285489,31.70971201046433,2469797.2831178727,156.9078264298552,151.8796041448628,19.98343510561562
t6068,0.0896222625283876,35.84966769827894,2486739.9100479065,119.1485668697073,299.4519713669126,15.39143700665065
t6130,0.2601504419695829,29.23961485757635,2466663.4034125563,160.3906410702063,128.5580449201768,16.80275769699317
u0039,0.3339337498017905,26.49572450904128,2462364.397689712,151.9672223521322,97.00687173532596,24.00270142240324
v5713,0.1791972435978585,32.31980068810147,2475745.029712205,19.83480413577344,110.1986607917922,13.5293726790099
v6257,0.2929540636076764,27.96821960022329,2459764.403880192,185.0125469266632,74.64490974865619,29.03680143824466
v8834,0.1936585479169128,32.06227733100128,2454715.212713224,331.504997123388,233.6072381192821,8.837240358397713
v8992,0.2818040068640116,28.4146858521669,2459606.454957636,129.2972678944829,118.0693093520159,6.192323662692855
v8993,0.0743934209988919,36.49539889242131,2498106.0450518657,146.2096410124204,322.5205189174015,19.41957809361481
v9246,0.2712926627619488,28.78985788463412,2461889.8461130075,131.0291336294492,140.453024468907,19.25454313008985
x1486,0.2788219920368273,28.31553201042245,2460996.981697625,129.5640578634799,285.869381583965,10.36905477950362
x4994,0.2068560539343079,31.18428198883632,2422687.794251312,238.2716483504168,337.7212475412268,1.589648862729229
z2029,0.249517056424944,29.56884367736168,2459312.631536744,186.6901840647858,60.01773411617683,4.816804228404212
z2045,0.1697350306530886,33.00345197899474,2421607.978837354,163.5335453542267,49.75864844196613,5.290407828353179
z2060,0.190270082261258,31.94036775957614,2456764.7347658165,194.7874758933746,33.59254369845088,8.781424194004682
z2088,0.2806882270923965,28.39448440414436,2448682.3035911443,338.9369819765329,164.290336726244,9.280866405399587
z2102,0.1348764412329071,34.16882139136609,2420087.0218796902,137.5905390749297,94.80932147745588,11.46705065089525
z2158,0.1691135044444201,32.78901877165433,2450206.4255399653,207.5282666823123,350.7863256408533,17.30178823523764
z2208,0.3055588352044727,27.43980360431024,2456652.5102071757,219.3375578547653,232.3653331077371,12.89520764200687
z2218,0.1114781800135538,35.0465215144886,2447899.595584712,139.1972021140606,89.27389700345756,2.25053112513046
z2241,0.1104450106450313,35.23645621506581,2441643.8973172484,129.436166626865,172.2194615669597,6.709987592450553
z2332,0.245631368024679,29.85187109992097,2470589.9159705755,1.81661786082125,154.1438385373405,5.669079860270546
z2351,0.1890883150227782,31.92025841391734,2456780.9143779515,79.10475055027516,173.1148605867517,5.388140409645951
z2352,0.0914106876751947,35.88982122795691,2449757.395465406,225.5719133071532,336.1114791119832,1.803356659207969
z2533,0.1268772898410774,34.46185686538931,2476845.865804211,19.14377656454271,162.8886101928229,13.27858911214424
z2547,0.1740698835711134,32.40901270210732,2448270.9965540334,34.38656927280118,137.3050215543609,5.6284429152089
z2574,0.1956469548582651,31.48878359018731,2420964.194866036,136.9009495897131,79.76918676876595,6.504367466943842
z2581,0.1325618074192693,34.01859205173538,2432067.0132159158,157.5665100378421,99.66970540118469,9.548463471928187
z2621,0.1643126267024714,32.98730835796303,2441614.6507642893,175.6529465824541,119.2738572023009,8.346062312721333
z2658,0.0891384105194781,35.75920513118949,2450277.541315583,251.396509982169,166.1607059321412,27.98145928546412
z2688,0.29902903605702,27.68562952559527,2460942.6921446137,211.0179474147689,255.7359125206966,17.54574475752184
z2772,0.2295543300464296,30.55131616660858,2464887.474598325,197.8433348667236,81.22638004734307,16.63116731781787
z2952,0.2410192647823667,30.16792186340778,2466379.7686502333,357.0861834996655,251.4909668527768,10.30697190658302
z3620,0.2264772948583938,30.41525087913096,2453188.965490712,235.9266506473725,150.0757161451273,14.8381381534174
J98U43R,0.2194104754876599,30.75120314422105,2457084.945381422,53.8880699126798,19.4938310622246,8.776865913445212
J98W31S,0.1973385974637951,31.45991638662387,2452090.9866102724,16.01536111630223,28.21652871354707,6.748783773144989
J98W31V,0.2691095799281644,28.57053391641827,2440823.6020693663,58.53082948231337,273.3028336969492,5.733696822348929
J98W31Z,0.1710907517257905,32.91645105048392,2448880.947625418,50.56541169475996,353.5788362236101,14.59671547689424
K00CA5K,0.232730856227113,30.2320760120335,2499803.97599256,326.5161871267442,352.8905358420685,8.142991061985514
K00F08B,0.2960336547944201,27.81336106351823,2431092.4956866773,1.711315107330657,68.19794981085684,4.569445886298532
K00QM6H,0.1900387972460033,31.87235700987811,2444655.623313791,351.0104480280529,306.0657899672061,2.809153545160776
K01FH2U,0.2700829533523593,28.75082191615297,2446181.315506922,32.44536119496261,133.8072940499621,24.75018527455861
K01K76Y,0.2326811415771745,30.0406821681425,2470912.2998544117,90.04041615138414,263.9241811007022,3.975668476650003
K01V71N,0.2433614989168409,29.72641249930457,2454393.506089244,70.44095464643497,1.501196300988801,18.69180629708557
K02CP1E,0.2638119681803446,28.82016412192041,2457355.537457649,342.5797141537532,215.1422317665268,9.307955588629158
K02G31W,0.2412916259532165,30.0310370759954,2432336.2530934853,227.1548525768938,199.3696603434265,2.644200138523258
K02G32E,0.2319101980479212,30.32857539892308,2472631.6000483786,203.7419789763204,103.7882217441318,15.67995468685764
K02G32L,0.1298111153837039,34.50173217592952,2452879.5140235405,11.06447465546908,191.5638281245134,7.064202741566418
K02GG6H,0.1971684792732517,31.60581325002505,2458674.4937304906,10.74034768111134,218.3157293902926,8.649085507092428
K02TU1H,0.0356121666197451,37.93425663682758,2437081.4127128366,93.44665891204748,231.3049260654706,1.541223947558782
K02VD0X,0.2196232509798129,30.68762916642386,2454364.52238682,296.9778162466108,106.1798531171557,1.320650350757962
K02VD8D,0.1462096517381772,33.61198258509644,2444225.905492371,315.0468033971098,38.40971596984573,2.783816785050498
K03FC7L,0.231702673688572,30.23770957116976,2417545.192913967,314.2826247484561,55.96574712353551,3.496809483135392
K03H57A,0.1723769270317853,32.68250895503073,2453906.750519784,199.7229553990568,4.351521767697377,27.6413693358216
K03H57F,0.1919403690754831,31.70739320474636,2447923.117964634,48.13420216078486,122.3624424546691,1.422712236760147
